Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,53,8,3,1.0166666666666666,0.18094579997705296,,,,,,,,,,,,3,8,53,1,,,,,33.62233350001043,,33.609784500004025,33.62233350001043,33.62233350001043,33.806484500004444,1.0166666666666666,0.18094579997705296,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,54,9,3,1.0166666666666666,0.198705599992536,,,,,,,,,,,,3,9,54,13,,,,,33.82245360000525,,33.80923690000782,33.82245360000525,33.82245360000525,34.023277100000996,1.0166666666666666,0.198705599992536,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,55,10,3,1.8233333333333333,0.5996003999898676,,,,,,,,,,,,3,10,55,9,,,,,34.03905690001557,,34.0255843999912,34.03905690001557,34.03905690001557,34.640121200005524,1.8233333333333333,0.5996003999898676,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,56,11,3,2.283333333333333,0.38100069999927655,,,,,,,,,,,,3,11,56,5,,,,,34.65565420000348,,34.643315900000744,34.65565420000348,34.65565420000348,35.0396730999928,2.283333333333333,0.38100069999927655,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,57,12,3,2.6,0.4317622999951709,,,,,,,,,,,,3,12,57,2,,,,,35.05552490000264,,35.04250070001581,35.05552490000264,35.05552490000264,35.48959240000113,2.6,0.4317622999951709,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,58,13,3,1,0.6649629000166897,,,,,,,,,,,,3,13,58,12,,,,,35.50557919999119,,35.49268429999938,35.50557919999119,35.50557919999119,36.1733988999913,1,0.6649629000166897,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,59,14,3,3.2266666666666666,0.8980985999805853,,,,,,,,,,,,3,14,59,14,,,,,36.189701800001785,,36.1761250999989,36.189701800001785,36.189701800001785,37.09021729999222,3.2266666666666666,0.8980985999805853,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,60,0,4,1.0733333333333333,0.8483047999907285,,,,,,,,,,,,4,0,60,2,,,,,37.10578790001455,,37.09285370001453,37.10578790001455,37.10578790001455,37.95753280000645,1.0733333333333333,0.8483047999907285,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,61,1,4,1.0733333333333333,0.2973591999907512,,,,,,,,,,,,4,1,61,11,,,,,37.97283030001563,,37.960252299992135,37.97283030001563,37.97283030001563,38.27343090000795,1.0733333333333333,0.2973591999907512,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,62,2,4,1.0733333333333333,0.29756150001776405,,,,,,,,,,,,4,2,62,3,,,,,38.289836500014644,,38.275556800013874,38.289836500014644,38.289836500014644,38.589652800001204,1.0733333333333333,0.29756150001776405,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
